000000,000000,0,-288,272,0,2448,-7456,5088,-16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000001,001000,112,-336,208,-16,4528,-7536,3072,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000002,002000,160,-320,144,0,6048,-7024,816,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000003,003000,224,-288,48,-32,7056,-5632,-1472,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000004,004000,320,-240,-80,-16,7392,-3696,-3760,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000005,005000,352,-192,-144,-32,7072,-1600,-5632,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000006,006000,320,-80,-208,-32,6000,704,-6848,-16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000007,007000,272,16,-288,16,4304,3040,-7424,32,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000008,008000,208,128,-336,0,2160,5088,-7376,32,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000009,009000,80,192,-288,-48,-80,6656,-6624,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000010,010000,-32,272,-272,-16,-2432,7440,-5088,32,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000011,011000,-128,320,-224,-32,-4528,7568,-3072,32,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000012,012000,-176,288,-128,16,-6032,7056,-832,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000013,013000,-240,272,-16,-32,-7088,5600,1536,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000014,014000,-320,272,64,16,-7440,3712,3760,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000015,015000,-336,176,128,0,-7088,1600,5632,32,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000016,016000,-288,64,224,-32,-6016,-688,6848,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000017,017000,-256,-48,288,0,-4304,-3072,7456,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000018,018000,-240,-144,320,-32,-2208,-5104,7376,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
000019,019000,-112,-192,320,-16,64,-6608,6640,16,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1
